Name,Full name,Description,Location,Coordinates,URL,Version,DNSSEC validation,No logs,Namecoin,Resolver address,Provider name,Provider public key,Provider public key TXT record
fvz-rec-us-tx-01,"opennic-fvz-rec-us-tx-01 in Dallas, USA","Fusl's public OpenNIC Tier2 DNS Resolver in Dallas, USA","Dallas, USA",,http://meo.ws/dnsrec.php,1,no,yes,yes,104.237.136.225,2.dnscrypt-cert.fvz-rec-us-tx-01.dnsrec.meo.ws,736C:4057:ADC4:FC97:AF33:2E9B:F386:4C6E:499F:37A2:1501:C678:950C:4A93:DC4D:6690,
fvz-rec-us-tx-02,"opennic-fvz-rec-us-tx-02 in Dallas, USA","Fusl's public OpenNIC Tier2 DNS Resolver in Dallas, USA","Dallas, USA",,http://meo.ws/dnsrec.php,1,no,yes,yes,104.219.55.89,2.dnscrypt-cert.fvz-rec-us-tx-02.dnsrec.meo.ws,1321:5728:A880:7EAF:5C74:B1D9:BD0F:9AE3:CCD2:E997:0966:5031:B36A:3437:7767:9813,
fvz-rec-us-wa-01,"opennic-fvz-rec-us-wa-01 in Seattle, USA","Fusl's public OpenNIC Tier2 DNS Resolver in Seattle, USA","Seattle, USA",,http://meo.ws/dnsrec.php,1,no,yes,yes,23.226.230.72,2.dnscrypt-cert.fvz-rec-us-wa-01.dnsrec.meo.ws,141C:43F5:1D4B:2A27:A1D2:4BAD:1011:FB81:04E0:429E:0D41:FD75:8363:B42E:02C3:376E,
fvz-rec-za-wc-01,"opennic-fvz-rec-za-wc-01 in Cape Town, South Africa","Fusl's public OpenNIC Tier2 DNS Resolver in Cape Town, South Africa","Cape Town, South Africa",,http://meo.ws/dnsrec.php,1,no,yes,yes,41.185.78.25,2.dnscrypt-cert.fvz-rec-za-wc-01.dnsrec.meo.ws,53AF:603B:E07D:214D:D4DB:8654:0561:9396:2ACB:8028:319F:A6D3:C90E:373E:E942:BB36,
ipredator,Ipredator.se Server,Public DNSCrypt server in Sweden provided by Ipredator.se,Sweden,,https://www.ipredator.se,1,no,yes,no,194.132.32.32:443,2.dnscrypt-cert.ipredator.se,C44C:566A:A8D6:46C4:32B1:04F5:3D00:961B:32DC:71CF:1C04:BD9E:B013:E480:E7A4:7828,pubkey.resolver2.ipredator.se
nawala,Nawala,"Server in Indonesia, filtering questionable content",Indonesia,,http://www.nawala.id,1,no,no,no,180.131.144.144:443,2.dnscrypt-cert.nawala.org,D421:E4B0:496A:28D7:8DB5:4CF2:18EA:931D:3D78:A5B9:9602:A612:AD2B:95C9:EE6E:6004,
okturtles,okTurtles,For a surveillance-free world. HTTPS is broken. DNSChain fixes it.,"Georgia, US","33.032501, -83.895699",http://okturtles.com/,1,no,yes,yes,23.226.227.93:443,2.dnscrypt-cert.okturtles.com,1D85:3953:E34F:AFD0:05F9:4C6F:D1CC:E635:D411:9904:0D48:D19A:5D35:0B6A:7C81:73CB,
opennic-tumabox,TumaBox,Public DNS server operated by TumaBox.org,Germany,,http://wiki.tumabox.org/doku.php?id=dns,1,no,yes,no,130.255.73.90:5353,2.tumabox.org,D591:7B11:6A35:3114:C238:AA99:A6EB:0C28:7CF7:6805:41AC:5DBF:A8A0:239E:228C:5B06,
ovpnto-lat,"OpenNIC OVPN.to Latvia",by oVPN.to VPN and Proxy service,Latvia,,https://ovpn.to,1,no,yes,yes,185.61.148.144:5353,2.dnscrypt-cert.latvia.ovpn.to,426A:8A39:300B:6766:5B53:4C04:01D6:9B21:7C08:2B73:05C0:AB51:15D4:919A:2450:98B3,
ovpnto-ro,"OpenNIC OVPN.to Romania",by oVPN.to VPN and Proxy service,Romania,,https://ovpn.to,1,no,yes,yes,93.115.92.252:5353,2.dnscrypt-cert.opennic-dns-ro1.ovpn.to,C665:8FFD:3D64:FC86:DD2C:87D1:0DDA:6069:C0ED:2C71:5E8D:9705:2C21:C12F:8153:EC14,
ovpnto-se,"OpenNIC OVPN.to Sweden",by oVPN.to VPN and Proxy service,Sweden,,https://ovpn.to,1,no,yes,yes,95.215.46.195:5353,2.dnscrypt-cert.sweden.ovpn.to,1014:0662:B5D6:B65B:6F55:4367:A77C:A057:DA1A:CE6A:D9ED:1C1F:040E:80A5:895C:83F5,
soltysiak,Soltysiak,Public DNSCrypt server in Poland,Poland,"52.4014619, 16.9278078",http://dc1.soltysiak.com/,1,yes,yes,yes,178.216.201.222:2053,2.dnscrypt-cert.soltysiak.com,25C4:E188:2915:4697:8F9C:2BBD:B6A7:AFA4:01ED:A051:0508:5D53:03E7:1928:C066:8F21,pubkey.dc1.soltysiak.com
